pathway	pathway_desc
hsa01040	Biosynthesis of unsaturated fatty acids 
hsa01200	Carbon metabolism 
hsa01210	2Oxocarboxylic acid metabolism 
hsa01212	Fatty acid metabolism 
hsa01230	Biosynthesis of amino acids 
hsa01521	EGFR tyrosine kinase inhibitor resistance 
hsa01522	Endocrine resistance 
hsa01523	Antifolate resistance 
hsa02010	ABC transporters 
hsa03013	RNA transport 
hsa03320	PPAR signaling pathway 
hsa04010	MAPK signaling pathway 
hsa04012	ErbB signaling pathway 
hsa04014	Ras signaling pathway 
hsa04015	Rap1 signaling pathway 
hsa04020	Calcium signaling pathway 
hsa04022	cGMPPKG signaling pathway 
hsa04024	cAMP signaling pathway 
hsa04062	Chemokine signaling pathway 
hsa04064	NFkappa B signaling pathway 
hsa04066	HIF1 signaling pathway 
hsa04068	FoxO signaling pathway 
hsa04070	Phosphatidylinositol signaling system 
hsa04071	Sphingolipid signaling pathway 
hsa04072	Phospholipase D signaling pathway 
hsa04080	Neuroactive ligandreceptor interaction 
hsa04114	Oocyte meiosis 
hsa04122	Sulfur relay system 
hsa04136	Autophagy  other 
hsa04140	Autophagy  animal 
hsa04141	Protein processing in endoplasmic reticulum 
hsa04142	Lysosome 
hsa04144	Endocytosis 
hsa04145	Phagosome 
hsa04150	mTOR signaling pathway 
hsa04151	PI3KAkt signaling pathway 
hsa04152	AMPK signaling pathway 
hsa04210	Apoptosis 
hsa04211	Longevity regulating pathway 
hsa04213	Longevity regulating pathway  multiple species 
hsa04216	Ferroptosis 
hsa04217	Necroptosis 
hsa04218	Cellular senescence 
hsa04260	Cardiac muscle contraction 
hsa04261	Adrenergic signaling in cardiomyocytes 
hsa04270	Vascular smooth muscle contraction 
hsa04310	Wnt signaling pathway 
hsa04340	Hedgehog signaling pathway 
hsa04360	Axon guidance 
hsa04370	VEGF signaling pathway 
hsa04371	Apelin signaling pathway 
hsa04380	Osteoclast differentiation 
hsa04510	Focal adhesion 
hsa04530	Tight junction 
hsa04540	Gap junction 
hsa04610	Complement and coagulation cascades 
hsa04611	Platelet activation 
hsa04614	Reninangiotensin system 
hsa04621	NODlike receptor signaling pathway 
hsa04623	Cytosolic DNAsensing pathway 
hsa04625	Ctype lectin receptor signaling pathway 
hsa04650	Natural killer cell mediated cytotoxicity 
hsa04658	Th1 and Th2 cell differentiation 
hsa04659	Th17 cell differentiation 
hsa04660	T cell receptor signaling pathway 
hsa04662	B cell receptor signaling pathway 
hsa04664	Fc epsilon RI signaling pathway 
hsa04666	Fc gamma Rmediated phagocytosis 
hsa04670	Leukocyte transendothelial migration 
hsa04672	Intestinal immune network for IgA production 
hsa04710	Circadian rhythm 
hsa04713	Circadian entrainment 
hsa04714	Thermogenesis 
hsa04720	Longterm potentiation 
hsa04721	Synaptic vesicle cycle 
hsa04722	Neurotrophin signaling pathway 
hsa04723	Retrograde endocannabinoid signaling 
hsa04724	Glutamatergic synapse 
hsa04725	Cholinergic synapse 
hsa04726	Serotonergic synapse 
hsa04727	GABAergic synapse 
hsa04728	Dopaminergic synapse 
hsa04730	Longterm depression 
hsa04740	Olfactory transduction 
hsa04742	Taste transduction 
hsa04744	Phototransduction 
hsa04750	Inflammatory mediator regulation of TRP channels 
hsa04810	Regulation of actin cytoskeleton 
hsa04910	Insulin signaling pathway 
hsa04911	Insulin secretion 
hsa04912	GnRH signaling pathway 
hsa04913	Ovarian steroidogenesis 
hsa04914	Progesteronemediated oocyte maturation 
hsa04915	Estrogen signaling pathway 
hsa04916	Melanogenesis 
hsa04917	Prolactin signaling pathway 
hsa04918	Thyroid hormone synthesis 
hsa04919	Thyroid hormone signaling pathway 
hsa04920	Adipocytokine signaling pathway 
hsa04921	Oxytocin signaling pathway 
hsa04922	Glucagon signaling pathway 
hsa04923	Regulation of lipolysis in adipocytes 
hsa04924	Renin secretion 
hsa04925	Aldosterone synthesis and secretion 
hsa04926	Relaxin signaling pathway 
hsa04927	Cortisol synthesis and secretion 
hsa04928	Parathyroid hormone synthesis, secretion and action 
hsa04929	GnRH secretion 
hsa04930	Type II diabetes mellitus 
hsa04931	Insulin resistance 
hsa04932	Nonalcoholic fatty liver disease (NAFLD) 
hsa04933	AGERAGE signaling pathway in diabetic complications 
hsa04934	Cushing syndrome 
hsa04935	Growth hormone synthesis, secretion and action 
hsa04940	Type I diabetes mellitus 
hsa04960	Aldosteroneregulated sodium reabsorption 
hsa04961	Endocrine and other factorregulated calcium reabsorption 
hsa04962	Vasopressinregulated water reabsorption 
hsa04964	Proximal tubule bicarbonate reclamation 
hsa04966	Collecting duct acid secretion 
hsa04970	Salivary secretion 
hsa04971	Gastric acid secretion 
hsa04972	Pancreatic secretion 
hsa04973	Carbohydrate digestion and absorption 
hsa04974	Protein digestion and absorption 
hsa04975	Fat digestion and absorption 
hsa04976	Bile secretion 
hsa04977	Vitamin digestion and absorption 
hsa04978	Mineral absorption 
hsa04979	Cholesterol metabolism 
hsa05010	Alzheimer disease 
hsa05012	Parkinson disease 
hsa05014	Amyotrophic lateral sclerosis (ALS) 
hsa05016	Huntington disease 
hsa05017	Spinocerebellar ataxia 
hsa05020	Prion diseases 
hsa05030	Cocaine addiction 
hsa05031	Amphetamine addiction 
hsa05032	Morphine addiction 
hsa05033	Nicotine addiction 
hsa05034	Alcoholism 
hsa05110	Vibrio cholerae infection 
hsa05120	Epithelial cell signaling in Helicobacter pylori infection 
hsa05130	Pathogenic Escherichia coli infection 
hsa05131	Shigellosis 
hsa05132	Salmonella infection 
hsa05133	Pertussis 
hsa05134	Legionellosis 
hsa05135	Yersinia infection 
hsa05140	Leishmaniasis 
hsa05142	Chagas disease (American trypanosomiasis) 
hsa05143	African trypanosomiasis 
hsa05144	Malaria 
hsa05145	Toxoplasmosis 
hsa05146	Amoebiasis 
hsa05150	Staphylococcus aureus infection 
hsa05152	Tuberculosis 
hsa05160	Hepatitis C 
hsa05161	Hepatitis B 
hsa05162	Measles 
hsa05163	Human cytomegalovirus infection 
hsa05164	Influenza A 
hsa05165	Human papillomavirus infection 
hsa05166	Human Tcell leukemia virus 1 infection 
hsa05167	Kaposi sarcomaassociated herpesvirus infection 
hsa05168	Herpes simplex virus 1 infection 
hsa05169	EpsteinBarr virus infection 
hsa05170	Human immunodeficiency virus 1 infection 
hsa05200	Pathways in cancer 
hsa05204	Chemical carcinogenesis 
hsa05205	Proteoglycans in cancer 
hsa05210	Colorectal cancer 
hsa05211	Renal cell carcinoma 
hsa05212	Pancreatic cancer 
hsa05213	Endometrial cancer 
hsa05214	Glioma 
hsa05215	Prostate cancer 
hsa05217	Basal cell carcinoma 
hsa05218	Melanoma 
hsa05220	Chronic myeloid leukemia 
hsa05221	Acute myeloid leukemia 
hsa05222	Small cell lung cancer 
hsa05223	Nonsmall cell lung cancer 
hsa05224	Breast cancer 
hsa05225	Hepatocellular carcinoma 
hsa05226	Gastric cancer 
hsa05230	Central carbon metabolism in cancer 
hsa05231	Choline metabolism in cancer 
hsa05235	PDL1 expression and PD1 checkpoint pathway in cancer 
hsa05310	Asthma 
hsa05320	Autoimmune thyroid disease 
hsa05322	Systemic lupus erythematosus 
hsa05323	Rheumatoid arthritis 
hsa05330	Allograft rejection 
hsa05332	Graftversushost disease 
hsa05410	Hypertrophic cardiomyopathy (HCM) 
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC) 
hsa05414	Dilated cardiomyopathy (DCM) 
hsa05418	Fluid shear stress and atherosclerosis 
