peak_id	chr	start	end	gene	region	AL1-CD4	AL10-CD4	AL11-CD4	AL12-CD4	AL14-CD4	AL15-CD4	AL16-CD4	AL17-CD4	AL19-CD4	AL2-CD4	AL20-CD4	AL21-CD4	AL23-CD4	AL24-CD4	AL25-CD4	AL26-CD4	AL27-CD4	AL28-CD4	AL29-CD4	AL3-CD4	AL31-CD4	AL33-CD4	AL35-CD4	AL36-CD4	AL37-CD4	AL38-CD4	AL39-CD4	AL4-CD4	AL41-CD4	AL43-CD4	AL44-CD4	AL45-CD4	AL48-CD4	AL49-CD4	AL5-CD4	AL50-CD4	AL51-CD4	AL52-CD4	AL53-CD4	AL54-CD4	AL55-CD4	AL56-CD4	AL58-CD4	AL6-CD4	AL60-CD4	AL61-CD4	AL62-CD4	AL7-CD4	AL8-CD4	AL9-CD4	AS1-CD4	AS10-CD4	AS11-CD4	AS12-CD4	AS13-CD4	AS14-CD4	AS15-CD4	AS17-CD4	AS18-CD4	AS19-CD4	AS2-CD4	AS21-CD4	AS22-CD4	AS25-CD4	AS26-CD4	AS27-CD4	AS29-CD4	AS3-CD4	AS30-CD4	AS31-CD4	AS32-CD4	AS33-CD4	AS35-CD4	AS36-CD4	AS37-CD4	AS38-CD4	AS39-CD4	AS4-CD4	AS41-CD4	AS42-CD4	AS43-CD4	AS45-CD4	AS46-CD4	AS5-CD4	AS7-CD4	AS8-CD4
peak_11	1	568123	568574	MIR6723	upstream	191941.44	236017.12	293971.55	218608.39	208815.65	334970.77	264494.51	109009.72	148797.42	175729.04	134459.36	118503.55	114086.19	110943.46	155948.3	131780.53	210148.56	100276.68	129373.11	118882.67	173075.22	324565.14	97086.72	105105.75	109573.56	231385.88	164077.88	182018.23	149352.56	139395.13	111158.1	215946.75	59372.26	69945.67	196316.54	89496.91	66176.04	92543.7	101951.13	130102.93	107077.42	190947.31	502193.6	442022.11	252014.66	216684.87	240089.76	185728.66	380968.56	228330.24	143624.44	279542.91	109314.72	123201.72	178892.17	239022.34	202554.8	106077.02	77853.18	104246.47	220629.9	143637.98	170362.79	93766.7	67468.85	71744.58	128133.14	177566.84	110258	132381.57	119329.37	62883	81098.24	54573.03	124006.85	103402.03	111207.52	189044.12	93826	93428.3	120900.6	210943.28	181332.34	174478.17	214843.18	171483.99
peak_12	1	568674	569042	MIR6723	upstream	134427.22	150705.16	189839.31	148164.23	158666.5	222919.43	197396.93	96423.12	111606.64	122953.21	108021.37	80924.95	74503.36	79226.3	109920.92	93262.44	129247.35	223915.83	87796.3	88133.09	117441.54	225431.25	65653.88	72512.34	76886.84	157760.83	115430.72	130960.62	104630.4	90467.78	71971.48	141488.82	38689.84	48461.83	124930.9	60381.6	44146.66	60239.58	63454.21	80887.83	71057.48	128667.69	375844.85	255932.15	161827.37	153411.23	165282.45	121698.61	238807.1	145737.32	102918.81	204042.21	84641.28	94161	148631.01	183174.04	158267.33	66257.94	54084.01	69515.35	151805.21	89863.09	119723.4	66022.86	43969.73	47443.03	85998.54	170399	73306.8	87120.52	86329.45	40672.1	52063.61	35007.56	91012.63	72835.42	77478.09	167193.89	61015.67	59233.09	82971.7	149062	127514.45	120680.38	139717.36	112380.47
peak_13	1	569450	570315	MIR6723	upstream	658719.1	777338.96	1029322.81	796138.32	830082.36	1263752.01	1072570.89	472840.69	566543.19	583696.89	480536.99	372165.21	372620.19	364357.65	529023.01	435086.24	741461.5	327002.94	419834.46	396522.57	595286.1	1117932.33	319533.32	375404.12	381831.56	954313.18	542208.73	657985.71	513365.9	466519.34	389219.27	746620.35	198983.47	222817.34	671065.74	300677.06	229458.67	293181.01	333016.93	426311.69	351889.09	638496.35	1663843.65	1057587.29	880896.89	776745.1	840692.44	682862.29	1382701.6	832276.37	328608.57	1035251.62	446297.85	502783.9	666178.79	914311.01	822036.31	326964.22	245338.9	321686.22	731182.28	462226.98	586130.82	334010.32	229373.66	245597.56	413029.44	634747.25	362572.09	444885.93	409972.33	205363.41	267222.35	178316.26	298830.6	360878.14	402960.38	658412.43	348719.96	338680.7	429311.27	797574.03	646057.49	716287.05	827620.94	673677.73
peak_14	1	713528	714838	LOC100288069	ncRNA_exonic	3975.65	2409.15	6127.52	4488.06	4158.43	4387.2	5015.86	3629.3	4098.48	3608.99	2949.05	3889	4116.03	3767.04	6946.45	3186.27	3991.2	3033.04	3403.39	3064.95	4447.25	3944.85	3353.82	3125	2998.89	1604.86	2864.36	5870.57	2662.51	2964.62	3021.39	2826.79	2806.06	2646.4	3724.11	3112.99	4427.75	2706.6	2515.4	3602.09	2365.12	2831.69	3624.04	3799.29	4044.4	3296.28	2429.56	4197.1	5795.28	4439.27	4343.33	4979.15	3946.92	7196.59	3686.63	3449.17	3953.71	4318.04	2906.9	3831.7	4811.41	4122.9	3686.69	4145.8	3202.09	3107.33	3717.83	3728.46	3235.27	3638.77	3466.21	2387.42	2655.02	2727.25	4072.45	3265.05	3045.69	3740.98	3713.13	2569.4	4319.79	4014.56	2963.87	4194.64	3905.12	3991.13
peak_15	1	752215	753020	FAM87B	ncRNA_exonic	287.13	109.93	486.84	435.5	408.06	391.68	386.37	461.76	364.5	371.61	661.49	193.56	260.8	328.61	478.37	472.2	287.11	193.84	327.95	488.98	212.06	284.46	258.19	260.49	230.62	150.15	258.07	678.89	384.47	328.87	432.62	341.05	281.58	287.2	496.31	325.91	301.09	334.1	332.34	308.06	309.07	224.48	335.08	337.2	185.39	170.03	293.63	351.03	293.73	346.36	443.23	531.28	446.32	755.25	477.98	583.65	409.65	259.75	326.28	250.28	301.08	263.59	234.89	238.7	276.97	303.33	280.64	396.91	283.74	256.7	287.41	433.74	308.04	256.68	437.97	314.27	261.97	742.6	344.31	255.77	448.28	440.44	303.7	480.16	331.63	414.83
peak_16	1	755347	755697	FAM87B	downstream	12.2	11.69	33.38	14.3	13.34	13.11	26.5	19.85	9.65	6.49	4.54	9.6	14.01	14.8	13.16	15.6	5.49	16.83	11.55	10.8	16.51	27.43	22.25	16.38	17.03	20.99	8.55	12.81	12.21	10.33	10.08	9.18	16.87	11.84	4.46	8.99	30.46	10.75	15.46	15.03	8.83	10.95	22.18	11.55	21.81	23.86	22.5	18.37	15.37	4.11	5.18	11.46	5.67	7.89	7.86	2.4	1.33	20.41	16.39	24.96	11.85	15.64	35.79	14.8	22.11	12.58	18.21	10.16	16.08	18.55	7.7	20.57	10.04	27.97	19.98	16.96	26.78	22.74	10.21	10.88	21.23	16.1	13.05	10.35	3.49	10.64
peak_17	1	762598	763253	LINC00115,LINC01128	ncRNA_exonic	3247.52	4458.1	5070.98	4683.81	3608.05	4054.51	3547.09	2939.8	3242.98	3082.41	2624.2	3722.77	3425.02	2947.05	5472.63	2857.29	3096.04	2670.88	2768.02	2908.68	4157.84	3209.88	2906.19	2914.48	3168.37	1551.58	2555.88	4684.24	2196.96	2428.41	2609.7	2555.26	2612.71	2559.35	3085.87	3049.31	4037.37	2645.93	2320.78	3205.37	2639.61	3282.83	2977.22	3086.78	4128.53	2666.85	2407.07	4040.97	4180.17	3295.72	3798.14	5189.66	3334.17	6232.31	3484.78	3250.23	3681.5	3605.58	2938.1	3138.46	3718.63	3182.46	2968.59	3556.45	3105.21	3082.92	3097.78	3430.78	2873.56	3044.34	3017.78	2567.52	2757.7	2572.59	3680.27	3321.29	3024.77	4578.04	3313.14	2976	3981.88	3602.87	2499.19	4247.7	3056.84	3039.74
peak_18	1	776063	776239	LINC01128	ncRNA_intronic	34.72	61.98	67.9	61.59	87.84	103.25	36.27	14.63	13.94	38.13	9.98	39.16	42.69	19.73	150.94	25.52	40.23	26.61	33.37	19.44	20.86	38.99	48.54	24.57	26.31	4.84	53.83	99.52	20.05	23.04	10.85	9.18	25.3	21.91	7.14	12.74	42.22	20.74	36.54	39.82	16.93	21.9	24.52	11.55	98.15	68.61	15.39	37.76	106	49.36	4.32	52.98	12.29	83.81	25.34	34.76	24.02	66.79	16.39	22.4	67.13	36.49	49.22	74.94	57.22	42.17	42.22	21.1	33.76	47.83	25.02	13.09	12.35	38.67	14.99	49.11	20.92	20.12	35.27	7	56.88	69	47.86	68.59	39.56	34.27
peak_19	1	776692	776915	LINC01128	ncRNA_exonic	15.01	38.59	26.47	7.7	15.57	11.47	22.32	12.54	8.58	6.49	6.35	29.55	19.34	14.18	37.93	7.8	14.63	13.57	7.7	7.2	11.3	23.1	30.34	10.65	23.22	4.84	21.36	20.69	8.72	11.12	19.38	27.55	11.68	7.7	2.68	13.49	38.76	15.36	11.94	16.53	15.45	15.33	3.5	9.24	26.48	22.37	15.39	7.14	41.27	9.87	4.32	27.21	7.56	9.86	6.99	8.39	17.35	20.41	6.87	8.32	13.82	19.36	27.96	29.61	46.81	15.54	24.84	9.38	12.86	32.21	19.25	3.74	15.44	48.54	21.65	17.86	10.04	9.62	22.27	7	22.07	26.45	9.57	14.24	9.31	15.36
peak_20	1	777618	777771	LINC01128	ncRNA_exonic	181.1	301.73	416.63	243.04	277.97	439.21	290.13	82.53	289.46	186.62	74.41	161.06	235.45	114.68	448.18	82.24	207.56	128.14	148.25	59.05	179.91	254.13	244.71	147.44	179.55	30.68	229.87	241.4	103.75	184.3	138.01	136.42	113.54	152.19	108.01	238.25	330.85	172.04	170.04	220.15	66.97	113.88	283.71	146.66	428.43	253.56	100.64	206.13	568.04	231.18	116.64	274.95	86.99	412.13	187.87	189.36	185.48	327.16	93.07	105.62	306.02	193.6	182.32	301.61	198.3	153.15	208.62	192.99	145.49	197.16	178.99	72.29	125.07	180.17	104.91	243.74	128.05	221.29	152.2	83.18	168.95	251.84	147.93	319.68	245.52	269.46
peak_21	1	778085	778416	LINC01128	ncRNA_exonic	48.79	47.95	33.38	24.19	15.57	42.61	30.69	14.63	46.1	29.21	6.35	28.81	40.02	30.83	102.95	17.02	34.75	28.23	32.73	7.92	32.16	60.65	50.56	33.58	43.34	17.76	23.93	57.15	33.13	38.92	31.79	34.11	22.71	25.46	16.96	38.96	74.75	31.49	35.83	49.59	11.04	40.52	19.85	43.88	70.11	55.19	33.15	43.88	43.7	41.96	15.55	55.85	13.24	70	15.73	14.38	37.36	67.41	27.5	28.16	49.36	37.98	49.22	86.04	58.52	27.37	62.92	28.13	45.01	38.07	60.3	31.16	33.2	46.07	29.14	37.5	34.32	38.49	42.69	26.43	59.43	44.85	28.72	27.18	19.78	20.09
peak_22	1	779393	780369	LINC01128	ncRNA_intronic	288.06	412.83	474.18	382.71	334.68	499.85	510.51	159.84	290.53	278.3	152.44	332.46	429.54	319.98	734.59	245.32	373.98	234.02	236.82	159.15	235.53	557.36	370.1	242.46	340.52	114.63	322.16	562.62	183.08	362.24	175.22	276.78	248.49	259.37	195.49	337.9	492.82	271.89	260.67	391.47	251.67	293.46	384.12	330.27	551.51	429.56	149.18	303.07	679.7	326.61	307.58	358.01	152.24	550.17	318.07	282.84	341.6	511.46	267.05	265.65	532.08	378.26	318.78	584.72	327.04	309.99	367.56	319.56	285.35	344.55	279.71	203.16	232.38	380.09	277.27	324.09	261.97	397.1	367.51	224.68	452.53	300.14	302.83	389.57	257.16	335.65
peak_23	1	793414	793652	LINC01128	ncRNA_exonic	200.8	243.25	293.49	170.46	165.67	242.55	178.54	96.11	181.18	189.86	70.78	251.19	213.44	214.56	424.19	105.64	234.08	149.32	152.75	82.1	207.72	330.66	221.12	164.65	204.31	20.99	204.23	259.14	83.69	170	127.15	136.42	161.55	196.6	165.14	250.99	293.48	143.63	165.12	216.4	75.8	127.02	179.8	177.84	219.67	156.61	87.62	148.99	313.15	148.91	135.65	194.76	52.95	306.64	167.77	133.03	185.48	358.08	151.77	178.59	240.87	255.4	262.86	252.58	235.36	175.34	212.75	169.55	154.33	262.56	167.44	96.59	118.12	193.33	187.34	256.24	152.33	210.8	212.52	136.83	197.82	189.75	129.66	135.9	160.58	151.28
peak_24	1	794079	794405	LINC01128	ncRNA_exonic	48.79	53.8	80.56	51.69	33.36	42.61	48.82	43.88	42.88	43	13.61	65.01	70.7	43.77	106.82	29.78	44.8	38.55	28.88	19.44	68.66	80.86	80.22	54.06	58.04	25.83	60.67	61.09	22.67	56.4	51.17	72.15	48.01	65.73	41.95	85.41	106.59	57.6	56.21	70.63	34.59	53.66	51.37	45.04	51.41	79.05	43.81	55.1	61.5	34.55	34.56	73.03	22.69	86.77	34.08	20.37	57.38	97.72	43.36	64.01	65.15	59.57	81.65	106.4	87.77	49.57	68.71	50.79	31.35	74.18	59.02	43	40.92	77.33	44.13	94.64	56.08	105.84	59.4	52.09	65.37	65.55	30.46	50.48	31.42	54.37
peak_25	1	804922	805660	FAM41C	ncRNA_intronic	842.61	784.73	1398.37	645.55	747.18	870.23	880.15	446.09	746.15	795.96	547.16	764.65	808.4	864.39	1773.38	582.09	868.65	655.91	698.26	702.86	810.88	902.46	690.99	641.38	602.87	329.37	637.47	1235.6	424.57	543.35	465.19	514.2	526.82	532.36	711.44	543.93	849.28	532.26	518.54	692.02	450.36	583.64	951.54	744.84	836.61	523.53	552.93	762.27	1139.31	853.96	958.18	684.51	630.71	1202.88	710.41	673.54	661.84	874.49	648.33	850.07	1005.91	910.66	744.94	995.51	626.76	622.95	580.32	763.35	561.85	693.01	597.91	342.75	440.06	457.42	834.31	603.55	527.28	1014.62	576.32	418.26	910.14	769.33	582.16	750.66	671.41	615.75
peak_26	1	825988	826476	FAM41C(dist=13806),LOC100130417(dist=25722)	intergenic	19.7	22.22	5.75	7.7	1.11	14.75	15.34	15.67	13.94	8.93	6.35	18.47	10.67	12.95	28.64	13.47	13.72	11.95	10.91	13.68	8.69	21.66	7.42	16.38	8.51	17.76	7.69	22.66	8.72	19.07	6.98	18.36	8.43	21.32	13.39	8.24	14.54	11.52	16.16	13.52	8.83	7.67	11.68	12.7	31.16	8.95	5.92	5.1	14.57	7.4	25.92	2.86	8.51	20.71	6.12	3.6	6.67	14.84	9.52	16.64	12.83	10.42	14.54	23.13	16.9	11.1	23.18	5.47	10.45	14.64	19.25	6.23	14.67	18.92	6.66	15.18	2.51	14.87	10.21	11.66	10.19	31.05	7.83	9.06	11.64	3.55
peak_27	1	832728	832968	FAM41C(dist=20546),LOC100130417(dist=19230)	intergenic	10.32	7.02	21.87	18.7	26.69	37.69	2.79	2.09	18.22	17.85	11.8	9.6	9.34	7.4	44.12	26.23	15.54	17.38	8.34	42.49	5.21	21.66	5.39	26.21	16.25	1.61	17.09	26.6	25.28	25.42	12.4	9.18	16.22	20.73	18.75	10.49	35.3	16.13	6.32	9.77	23.55	3.29	9.34	8.08	9.35	2.98	13.02	15.31	21.04	22.21	19.87	15.75	28.37	55.21	15.73	23.97	12.01	12.37	31.73	9.6	11.85	24.57	6.71	4.63	14.3	8.14	14.07	14.06	26.53	16.59	12.19	34.28	13.9	9.05	30.81	26.78	15.07	43.73	12.99	17.88	39.05	40.25	17.4	3.88	17.45	29.55
peak_28	1	833731	834565	FAM41C(dist=21549),LOC100130417(dist=17633)	intergenic	130.43	113.44	395.92	216.65	126.75	188.47	217.6	137.9	204.76	139.56	40.83	139.63	135.4	181.88	433.48	110.6	138.98	178.64	154.03	61.93	162.52	291.68	156.4	262.94	198.89	38.75	192.27	321.22	81.95	154.9	122.5	173.15	149.87	149.23	202.63	171.57	252.64	192.78	165.82	114.21	160.42	167.54	136.6	272.53	294.45	131.25	94.72	121.43	300.2	156.31	275.62	157.52	193.85	280.02	224.57	131.83	158.79	214.6	161.82	122.9	267.52	226.36	210.28	251.65	182.05	116.16	101	150.79	143.08	241.09	155.89	52.97	143.6	163.72	155.7	128.57	117.17	386.61	81.67	81.63	143.48	252.99	200.14	139.78	133.82	178.46
peak_29	1	839757	841011	FAM41C(dist=27575),LOC100130417(dist=11187)	intergenic	958.96	1149.61	2053.25	480.59	418.07	1222.58	1380.9	1307.97	1343.29	1362.3	751.33	461.01	1192.59	1831.12	2841.59	1363.42	1022.26	943.69	1437.6	808.73	441.51	2002.75	1222.88	1621.07	1073.41	524.73	1275.8	1972.62	1173.46	829.33	1225.77	1097.92	817.49	686.32	1068.49	896.81	1332.41	1105.99	1278.78	1538.07	1367.27	758.84	356.1	1073.96	1536.12	821.83	1050.21	950.04	1705.73	1899.61	1388.45	422.45	1804.2	1730.38	1033.73	1465.72	326.92	1207.84	984.12	1748.14	1795.64	1817.59	1445.15	1808.76	932.34	538.6	1182.98	725.07	739.49	1536.32	1422.28	555.88	1143.38	1280.94	1099.09	379.45	747.4	1365.37	1338.25	536.43	1162.3	796.93	1072.08	1681.22	1239.26	1148.77
peak_30	1	842080	842782	FAM41C(dist=29898),LOC100130417(dist=9416)	intergenic	293.69	280.68	462.67	367.31	286.87	327.77	318.02	448.18	373.08	350.51	637.9	222.38	164.75	294.09	621.57	545.93	202.07	269.31	465.29	597	201.63	170.39	148.31	242.46	173.36	83.96	216.19	813.88	409.75	292.33	207.01	274.15	286.12	268.25	540.94	161.08	313.55	343.32	356.23	180.33	306.13	105.12	409.81	325.65	63.88	114.85	311.39	417.36	217.67	441.79	355.1	280.68	276.11	845.96	453.51	952.78	418.99	118.74	240.08	124.18	327.74	265.83	221.47	136.93	232.11	329.97	148.18	202.36	259.63	271.35	322.69	271.09	357.45	167.01	577.85	206.24	236.02	602.65	259.85	172.59	602.8	472.64	171.43	260.14	447.99	190.28
peak_31	1	847834	849053	FAM41C(dist=35652),LOC100130417(dist=3145)	intergenic	52.55	66.66	79.41	41.79	56.71	31.14	51.61	42.83	45.03	51.93	53.54	59.1	30.01	65.35	110.69	58.14	42.06	45.07	64.18	51.85	35.63	73.64	45.17	71.26	83.58	40.36	56.4	70.94	44.46	43.69	48.07	35.42	72.67	49.74	66.95	44.2	79.6	64.52	73.07	36.82	47.1	24.09	50.2	68.13	116.85	79.05	30.78	74.49	63.92	50.18	42.34	58.71	27.42	82.82	49.81	73.11	41.37	64.94	43.36	56.97	72.06	69.25	54.81	65.69	68.92	48.83	53.81	48.44	25.72	68.32	77.63	38.01	36.29	64.99	100.75	28.57	48.54	84.84	69.6	56.75	83.2	75.9	41.77	27.18	17.45	37.82
