matset	sample	group	CDH2	PCDHB10	PCDHB11	PCDHB14	PCDHB16	PCDHB3	PCDHB6	PCDHB9	cg09150559	cg09843519	cg14011486	cg15577010	cg18070959	cg19154323	cg21117330	cg25108548	cg25555787
117	117DZ	0	0.030374544	0.432471373	0.47676517	0.323131957	0.511298042	0.655998251	0.503206296	0.471317226	0.787753413	0.122117057	0.096829176	0.014963821	0.837148846	0.380922191	0.484529198	0.788751069	0.660856755
11	11BL	1	0.021110335	0.302838651	0.341327412	0.247987516	0.348770882	0.549334952	0.36904892	0.336745004	0.880105198	0.061076666	0.064471543	0.013824174	0.715145386	0.382907802	0.319050476	0.679877211	0.693673386
177	11DZ	0	0.066644519	0.373013353	0.41729262	0.315150877	0.425500386	0.604208997	0.408034001	0.417992906	0.864950747	0.178511558	0.105574872	0.016083162	0.9327714	0.128990597	0.373731086	0.766051661	0.644123103
135	121BL	1	0.020659005	0.316781603	0.356148682	0.298462813	0.384962503	0.582241444	0.388601884	0.359220414	0.729915599	0.13934703	0.065423714	0.01395728	0.895062741	0.508352295	0.344038676	0.666895248	0.689749502
136	122BL	1	0.018485757	0.350642901	0.395986613	0.331147364	0.373615703	0.570542105	0.365214082	0.376475669	0.579747936	0.147375212	0.076887196	0.013875512	0.897619516	0.346420592	0.393525736	0.74125	0.697513238
137	124BL	1	0.020272974	0.278868772	0.319085036	0.200934073	0.340829531	0.513253494	0.341082876	0.300626961	0.614201845	0.068814447	0.057785992	0.01432825	0.689263489	0.224352606	0.339329488	0.711757426	0.689973609
112	124DZ	0	0.042991518	0.38043904	0.413357701	0.325829756	0.424799024	0.589843902	0.39202765	0.415820659	0.749757986	0.186316529	0.088060781	0.016219132	0.915966383	0.140022995	0.386486976	0.699108314	0.667854417
138	125BL	1	0.067292241	0.397117308	0.439693986	0.284496221	0.493644932	0.614495727	0.454953407	0.465802495	0.809398792	0.158832609	0.140741016	0.016201347	0.920290099	0.499090567	0.392739936	0.678610369	0.656644566
44	125DZ	0	0.04372796	0.401586144	0.462461313	0.397483988	0.447277551	0.64223125	0.514703786	0.467315693	0.873769339	0.212753149	0.101113897	0.014594109	0.711016507	0.486903422	0.353851209	0.638447894	0.660031181
139	128BL	1	0.019528075	0.383210383	0.427597189	0.334922139	0.469074421	0.610158313	0.474115377	0.420944028	0.74919268	0.132484031	0.067170378	0.012505627	0.750364003	0.348512281	0.464303855	0.662857143	0.69913947
83	128DZ	0	0.029779204	0.413953532	0.442792817	0.333571718	0.474402525	0.635238405	0.511154147	0.447266802	0.80557238	0.112389108	0.089300645	0.015304752	0.757908309	0.460728345	0.416937671	0.52244898	0.664562318
140	129BL	1	0.0336604	0.326797312	0.366981035	0.260744729	0.396165892	0.54890627	0.351210814	0.367769452	0.468812877	0.138101938	0.071430919	0.01502347	0.866429342	0.385371386	0.340440894	0.622149297	0.678270156
179	129DZ	0	0.040582097	0.369146246	0.397271236	0.282622882	0.441138963	0.622493796	0.374762322	0.42453319	0.723480334	0.249150573	0.100570953	0.015442952	0.796853299	0.467785983	0.361863904	0.726644845	0.669691994
27	12DZ	0	0.04455337	0.37523757	0.421299505	0.268084039	0.446080368	0.61422407	0.448567502	0.407863753	0.860124083	0.137885817	0.095306882	0.014994018	0.821072802	0.351364461	0.511752821	0.685371658	0.41281041
142	133BL	1	0.019267838	0.368816526	0.410012824	0.288374639	0.407767184	0.593149202	0.445579582	0.394343731	0.816656308	0.157295014	0.066812463	0.014802267	0.828619363	0.489193473	0.419060833	0.61509434	0.699780256
113	133DZ	0	0.052212969	0.387660911	0.428917217	0.344247959	0.446989143	0.631377994	0.483351382	0.435168095	0.778846154	0.17487535	0.109707689	0.01491675	0.614789714	0.332301935	0.360884966	0.667368421	0.65941927
143	134BL	1	0.043713316	0.401154966	0.437957751	0.297515145	0.505015753	0.633876164	0.560454438	0.443908644	0.909690512	0.181964012	0.092000489	0.012963272	0.864803741	0.361552884	0.370236409	0.735395189	0.51313383
187	134DZ	0	0.042746476	0.402397122	0.43376533	0.341137175	0.432605189	0.636871614	0.44562089	0.444152054	0.766604303	0.174236435	0.085362711	0.023238044	0.855853236	0.166318783	0.447979253	0.742428478	0.658584251
64	135DZ	0	0.036865669	0.316559742	0.358404632	0.240293839	0.391686693	0.585899254	0.388648898	0.350963425	0.762237762	0.110312375	0.094030062	0.01445213	0.723106305	0.289320403	0.374454877	0.733333333	0.422402352
144	138BL	1	0.028266721	0.300250866	0.337646371	0.219625832	0.363217741	0.538023348	0.310081305	0.346366945	0.64491654	0.174542317	0.0803091	0.013602462	0.868681146	0.538914733	0.419927176	0.726856653	0.708280322
114	138DZ	0	0.029274426	0.443217364	0.458714425	0.360587425	0.487597895	0.645564703	0.472540716	0.495153214	0.620869565	0.139856178	0.077159167	0.014793262	0.908922942	0.285470101	0.384797573	0.641904762	0.674397357
13	13BL	1	0.037143923	0.480100985	0.543049413	0.350672686	0.483766463	0.680762298	0.367791147	0.529911847	0.565681737	0.112012141	0.136081345	0.017925708	0.931264057	0.080155619	0.502008079	0.786442757	0.681081832
16	13DZ	0	0.07115212	0.426671561	0.470991685	0.343228381	0.527994654	0.671623798	0.597431372	0.49266382	0.771151886	0.11913658	0.122304336	0.017445945	0.859430704	0.492806934	0.41055264	0.779283348	0.682690559
145	140BL	1	0.048155105	0.408544179	0.460042757	0.352441694	0.501824318	0.659675787	0.529842871	0.437410955	0.827346466	0.255185937	0.076302508	0.014267178	0.8185075	0.30981281	0.389992657	0.731588125	0.317482463
118	140DZ	0	0.0288956	0.418791067	0.451059213	0.33576621	0.495169691	0.641601502	0.510354927	0.438722569	0.862739234	0.228757778	0.078212928	0.008791209	0.697833718	0.425440359	0.410726197	0.740731778	0.41457139
146	141BL	1	0.033193196	0.328917502	0.363957891	0.254837435	0.371477291	0.549044954	0.364837811	0.340474532	0.813888889	0.126819656	0.056637888	0.015776871	0.908239689	0.394891192	0.380859112	0.789473684	0.686246081
147	142BL	1	0.038543744	0.357690996	0.347004711	0.268265172	0.431628274	0.620042459	0.351671669	0.425247365	0.925247525	0.093623766	0.098820905	0.01479838	0.92420197	0.055317486	0.179896462	0.75513899	0.67771521
148	143BL	1	0.012619806	0.347049464	0.391244476	0.252040984	0.399782818	0.575543924	0.423888181	0.367094331	0.686961516	0.121431102	0.06091135	0.015347788	0.862653299	0.476581008	0.351481395	0.809708738	0.689879114
120	143DZ	0	0.024928201	0.342102526	0.36963433	0.329389116	0.431689025	0.571827693	0.498386409	0.380700871	0.653896387	0.111129486	0.076814077	0.014331865	0.914201505	0.532630077	0.42675006	0.733156966	0.429887902
149	144BL	1	0.012450456	0.338692533	0.405663172	0.377711614	0.396173672	0.596769309	0.424179509	0.366727801	0.916519099	0.051774463	0.08623088	0.012627505	0.839491533	0.24617363	0.178336571	0.599774104	0.688310966
150	145BL	1	0.010658497	0.358694479	0.40668888	0.315421726	0.449193601	0.611478102	0.523139555	0.415301356	0.828096118	0.178996596	0.058767908	0.014985227	0.664808642	0.234225132	0.32239994	0.783433349	0.709269334
68	145DZ	0	0.092365993	0.419771074	0.457052449	0.3638899	0.494932952	0.669838234	0.516078016	0.456290245	0.512838307	0.158774307	0.123415435	0.014312034	0.857478851	0.361350406	0.302937719	0.643455497	0.648358959
151	146BL	1	0.033915714	0.344405261	0.379428573	0.269935724	0.391016468	0.589293462	0.364410435	0.391689503	0.515822785	0.174188841	0.085835079	0.015766819	0.751982961	0.356472071	0.334001425	0.774683009	0.682637774
129	146DZ	0	0.024697926	0.365474389	0.394259753	0.328863105	0.440952333	0.60974206	0.391740956	0.417772893	0.856007944	0.198475624	0.077028221	0.015181966	0.859548874	0.390217175	0.459179829	0.786881944	0.688248127
175	148DZ	0	0.033348813	0.407457337	0.444141594	0.346108616	0.433489291	0.639478988	0.47559833	0.45829878	0.721731038	0.101453682	0.096585933	0.014534967	0.899365151	0.436502706	0.49014668	0.787846164	0.682983668
152	149BL	1	0.03237963	0.382844407	0.443874007	0.345449858	0.466645316	0.644071364	0.449222472	0.443252139	0.808210391	0.184985588	0.063936553	0.015649488	0.635872231	0.22247667	0.371752876	0.757360406	0.349538864
14	14BL	1	0.010522599	0.378255798	0.444197827	0.29027508	0.44763963	0.610214861	0.516447715	0.426213598	0.755398671	0.092120802	0.069967039	0.016862121	0.87844614	0.78899773	0.421118853	0.728129058	0.430849271
153	150BL	1	0.01972219	0.330346533	0.375990079	0.253562211	0.396680262	0.564551219	0.381764211	0.366794803	0.620622568	0.129317785	0.064466833	0.015055477	0.880128393	0.572808529	0.264997303	0.806819923	0.693435576
115	150DZ	0	0.058827135	0.376583503	0.426019792	0.341322281	0.437288529	0.614865917	0.453663381	0.424883593	0.729304636	0.215436044	0.11810898	0.018343159	0.68418684	0.558469964	0.363827159	0.719043878	0.645876931
154	152BL	1	0.0144977	0.326324042	0.367251739	0.225078575	0.371733112	0.552481861	0.371724903	0.413911979	0.828701078	0.066831593	0.056883448	0.013660246	0.813233648	0.200500672	0.328206223	0.693502289	0.411526393
155	153BL	1	0.037265401	0.4131494	0.442940378	0.313783968	0.476990379	0.64143466	0.487250472	0.493747593	0.570731707	0.284748033	0.079564021	0.0136456	0.643904844	0.387385921	0.49882198	0.649361235	0.517474218
137	153DZ	0	0.02685589	0.368775895	0.393375383	0.299491219	0.412968649	0.582151068	0.428610248	0.401794571	0.631619637	0.120663806	0.097316293	0.015117348	0.80828245	0.521626545	0.481893423	0.776148978	0.671831646
198	155BL	1	0.013300519	0.379894204	0.415643604	0.357297161	0.419614578	0.579153181	0.396925036	0.418008068	0.729763387	0.148912356	0.055114846	0.01589732	0.927939818	0.437143868	0.366824577	0.693877551	0.702540716
157	156BL	1	0.038299928	0.401129517	0.462949936	0.330252377	0.53987702	0.645594933	0.511885779	0.403539294	0.771283355	0.185335013	0.104051028	0.015377081	0.652802119	0.459169452	0.436139288	0.652459016	0.656503829
158	157BL	1	0.022802001	0.348729811	0.386843699	0.292973215	0.404839361	0.594955394	0.400180612	0.402084965	0.658218126	0.089755226	0.074866914	0.01468646	0.899469048	0.448853088	0.428968414	0.738842975	0.678470593
169	157DZ	0	0.057239606	0.380929953	0.429537449	0.286614093	0.460376375	0.631116334	0.427146517	0.428296419	0.518711923	0.205578899	0.113088626	0.019032134	0.85059976	0.53463379	0.293484811	0.711764706	0.616218258
159	158BL	1	0.021785683	0.403925572	0.45098414	0.388297972	0.448510098	0.616435434	0.429227604	0.424775468	0.803571429	0.146326762	0.086040844	0.014093489	0.8758619	0.121758787	0.437471803	0.789830508	0.661674875
160	159BL	1	0.013161472	0.379823965	0.485936596	0.331137776	0.542370885	0.720036269	0.822527328	0.461082823	0.922437673	0.107969971	0.050682951	0.024611128	0.668690429	0.173172483	0.320438778	0.744304582	0.707569442
69	159DZ	0	0.047745556	0.413919389	0.45477162	0.379944075	0.495301276	0.644497959	0.524207452	0.477365279	0.802889577	0.168523629	0.10594404	0.01430957	0.461247562	0.236986991	0.500329659	0.749871134	0.667507926
15	15BL	1	0.02042291	0.366327878	0.411213917	0.311160674	0.411092333	0.596318723	0.401769844	0.395219373	0.783770651	0.079958258	0.060190964	0.006004141	0.614660245	0.637409029	0.389279862	0.762424242	0.668070208
72	15DZ	0	0.037756204	0.371190904	0.426470258	0.349461875	0.41906296	0.609445489	0.363220989	0.375885882	0.789229878	0.086437008	0.086906949	0.015249663	0.897069199	0.490561492	0.378538528	0.826415094	0.685220576
161	160BL	1	0.022845181	0.351084469	0.388683806	0.287854153	0.389548702	0.593204359	0.381177303	0.398471838	0.615075377	0.192807046	0.077481346	0.014885707	0.880924865	0.508882449	0.374643844	0.799898806	0.389914729
91	160DZ	0	0.033152906	0.383682181	0.415791902	0.296396421	0.442175596	0.62066615	0.432441463	0.423045181	0.832716257	0.248314307	0.095552086	0.015956824	0.882189798	0.214864973	0.378952155	0.808625084	0.66600091
160	161DZ	0	0.043274315	0.377724983	0.428968219	0.37907318	0.504755287	0.673035589	0.593734817	0.448723898	0.88470166	0.21845998	0.100906918	0.015216534	0.859406729	0.328261272	0.371015875	0.629752066	0.65274136
162	162BL	1	0.018407969	0.405482824	0.476815807	0.387307066	0.458191067	0.627806456	0.475071677	0.468624342	0.624254473	0.079596512	0.079022603	0.015639204	0.697387936	0.549993587	0.412352001	0.72952381	0.695607769
6	162DZ	0	0.027737215	0.423751623	0.468983893	0.342840491	0.469919653	0.658979387	0.480718091	0.473139331	0.678915448	0.157366211	0.078675458	0.016513681	0.877010503	0.46049645	0.495411578	0.688432876	0.677601264
163	163BL	1	0.057263497	0.380193576	0.431795594	0.30414137	0.462515056	0.630412344	0.530173985	0.4090213	0.819221968	0.108246209	0.09155974	0.014013977	0.629438954	0.483822816	0.414152714	0.736111111	0.671780226
71	163DZ	0	0.049775689	0.379290588	0.410529081	0.289587893	0.447396606	0.609316216	0.420268427	0.424136946	0.771938776	0.144220607	0.075949999	0.015876048	0.757169171	0.424291454	0.374532836	0.676190476	0.688592569
164	164BL	1	0.012883895	0.403373433	0.425185803	0.320202826	0.487121776	0.66064663	0.589127457	0.453042788	0.901364113	0.063580453	0.052899424	0.013689413	0.78305847	0.508088548	0.375980129	0.758526632	0.690317307
70	164DZ	0	0.047123535	0.442201126	0.477537278	0.355904474	0.521319273	0.666815101	0.545253648	0.500815738	0.867552508	0.183424528	0.112292275	0.015547278	0.872357386	0.425827171	0.534907655	0.766127155	0.655880722
165	166BL	1	0.033986768	0.497075103	0.547099293	0.465159689	0.607865904	0.729147947	0.694212775	0.586656154	0.93128655	0.089866477	0.07665897	0.028711415	0.812870219	0.677192707	0.581100531	0.844927536	0.458172588
166	167BL	1	0.017273572	0.323126246	0.357012186	0.257024152	0.352503828	0.538201006	0.388101721	0.365884261	0.505530973	0.120836512	0.0642299	0.015245633	0.870337779	0.335230026	0.378805447	0.682129402	0.680341184
167	168BL	1	0.025276525	0.372472598	0.419174707	0.300096229	0.39418441	0.586710288	0.429187482	0.458283468	0.562248996	0.128678441	0.111330807	0.015075079	0.928788856	0.231933872	0.412350944	0.8	0.655258904
107	168DZ	0	0.023335081	0.330447905	0.377131697	0.24551958	0.362686259	0.563222747	0.335351883	0.375121499	0.672982456	0.151560661	0.080210214	0.016452597	0.888938571	0.622543226	0.400559867	0.757142857	0.705663437
168	169BL	1	0.020448259	0.373019435	0.408386377	0.277582033	0.448121056	0.607486276	0.397051197	0.436993943	0.677342823	0.163815097	0.070292157	0.01504521	0.711206948	0.525352966	0.377203572	0.811965812	0.661804129
16	16BL	1	0.044709659	0.552091641	0.639736748	0.43778475	0.647965869	0.742062643	0.755997456	0.637226488	0.924483307	0.164007522	0.101936632	0.027398463	0.919257896	0.690467525	0.655745912	0.83125	0.641464511
169	170BL	1	0.016184299	0.324457205	0.361575646	0.243222012	0.372697207	0.548503489	0.358811469	0.38887066	0.563380282	0.144347178	0.061476799	0.015299808	0.882788346	0.35890777	0.339526809	0.652830189	0.677377728
197	171BL	1	0.014703254	0.310747025	0.3445496	0.279524337	0.374900788	0.5417248	0.331843621	0.311446637	0.52972028	0.098084624	0.065451058	0.019989365	0.863218333	0.612106337	0.397532797	0.71875	0.68118079
170	173BL	1	0.037402652	0.358138825	0.405268618	0.266961807	0.431920538	0.6310057	0.426600826	0.40994081	0.73442623	0.170958061	0.103903674	0.015349418	0.903891358	0.356794946	0.419948879	0.735757576	0.442011424
171	174BL	1	0.030956521	0.38139585	0.428979114	0.339304659	0.452166476	0.629063935	0.492295883	0.42517295	0.688353048	0.096217279	0.068048719	0.015824152	0.818096719	0.550630169	0.460998584	0.778616352	0.688939006
94	174DZ	0	0.052786363	0.362126745	0.376939153	0.341894851	0.451202131	0.628432774	0.456023314	0.428547896	0.603337612	0.211246253	0.106505031	0.015766066	0.647225934	0.582325971	0.349907551	0.703030303	0.650509558
172	175BL	1	0.035134448	0.369674542	0.421730177	0.29568542	0.437915081	0.615911204	0.432178565	0.411843829	0.627019749	0.161232582	0.076447174	0.014287427	0.87318408	0.361949424	0.461701884	0.714952521	0.452957596
173	176BL	1	0.031485371	0.307244308	0.34567687	0.219086435	0.352180391	0.546612086	0.324551352	0.363859766	0.70407315	0.254362409	0.076112768	0.015002509	0.651796454	0.455357137	0.326088516	0.738461538	0.690848558
174	177BL	1	0.039017617	0.591334071	0.649332992	0.635646509	0.663590267	0.814858043	0.671180149	0.650017357	0.118577075	0.080283014	0.144930144	0.019466744	0.508232152	0.233262695	0.867491836	0.761904762	0.693619902
175	178BL	1	0.034344038	0.422594937	0.44259451	0.449377004	0.474472627	0.663292432	0.504083627	0.4508014	0.65129683	0.064422513	0.1115781	0.01658706	0.7636423	0.400399192	0.406617022	0.758677686	0.399411577
176	179BL	1	0.07506063	0.37600107	0.409707381	0.249623032	0.461385452	0.603558345	0.446665721	0.472443543	0.65615142	0.263303003	0.093644471	0.014998816	0.618730599	0.425530483	0.396860645	0.777596099	0.660696115
164	17DZ	0	0.097956974	0.432144732	0.482285942	0.372491725	0.552612854	0.694007936	0.610846338	0.507952176	0.913072111	0.123334504	0.109747216	0.015370826	0.710770226	0.288503824	0.421513345	0.642865607	0.627834786
199	180BL	1	0.020329221	0.352696138	0.408048935	0.255969899	0.435077207	0.579085994	0.36160093	0.408647542	0.734793187	0.188773073	0.06977394	0.01564277	0.917321013	0.50675958	0.411835682	0.662686567	0.695866412
31	180DZ	0	0.058964394	0.439292834	0.486838941	0.423464969	0.499138404	0.660851232	0.453013876	0.494666371	0.895505618	0.240425112	0.112332608	0.015964007	0.905223812	0.628390683	0.475408974	0.633965587	0.65826564
177	181BL	1	0.061720375	0.336215457	0.388595143	0.284020472	0.444348348	0.5886961	0.402445434	0.409605672	0.741469816	0.089859861	0.090497725	0.011291123	0.699925148	0.625932569	0.377913734	0.723516484	0.679507362
178	182BL	1	0.023608635	0.362135579	0.378662228	0.246126233	0.377206621	0.589040405	0.422996793	0.418708529	0.880248834	0.090207634	0.069061061	0.015221131	0.705621395	0.525394269	0.398998892	0.683783784	0.6750411
179	183BL	1	0.018448042	0.367604527	0.40774271	0.265642429	0.393119015	0.578529905	0.409466343	0.436356773	0.674242424	0.098588117	0.084891993	0.019382005	0.822424876	0.371879916	0.317029606	0.704392157	0.701564132
180	185BL	1	0.032175311	0.3837867	0.429254698	0.380777574	0.458335679	0.630161616	0.49350587	0.417763796	0.818982387	0.108110919	0.082146632	0.014920077	0.897432508	0.472904028	0.381800755	0.814076577	0.695823639
181	186BL	1	0.01624279	0.377779107	0.424659717	0.309034071	0.445209045	0.635307698	0.525362991	0.455047088	0.899385561	0.187665387	0.075783801	0.011788309	0.885929865	0.621375626	0.477169048	0.839583333	0.658284409
182	187BL	1	0.017801894	0.36054328	0.44271423	0.329767737	0.510428196	0.642183354	0.556618714	0.416960861	0.813529922	0.177419177	0.069083423	0.013559829	0.861566917	0.436801366	0.385342288	0.776904762	0.686145812
183	188BL	1	0.019211612	0.333551668	0.36003105	0.265321374	0.414455604	0.575935141	0.355480532	0.38668833	0.726865672	0.24456204	0.070395654	0.014997588	0.934304249	0.381697873	0.420967423	0.782857143	0.687332268
95	188DZ	0	0.066401187	0.550300753	0.595934014	0.425747638	0.603602225	0.733184044	0.628562673	0.609619804	0.922102945	0.286944735	0.11082737	0.015965286	0.392533314	0.29887099	0.56177306	0.640175664	0.655214196
184	189BL	1	0.054510234	0.380168016	0.437166319	0.288201825	0.456304642	0.57494705	0.429782735	0.429090944	0.827111984	0.252776589	0.073643844	0.016681437	0.789001735	0.454852226	0.31095986	0.646603048	0.675870345
45	189DZ	0	0.022365466	0.42598075	0.45912279	0.32469814	0.482104331	0.641504761	0.441361795	0.457284794	0.605809129	0.103336217	0.079314254	0.014985235	0.92878288	0.49240995	0.463182686	0.764704776	0.26163587
18	18BL	1	0.01705746	0.309297342	0.346474438	0.253658488	0.392042689	0.519219997	0.370961146	0.349644095	0.820005816	0.088260519	0.069839344	0.01533556	0.735525854	0.31684074	0.328541294	0.683958609	0.676085872
51	18DZ	0	0.112398542	0.455858577	0.517031477	0.369183688	0.615505468	0.761196073	0.706369539	0.547061318	0.911650065	0.266887733	0.124671216	0.015975466	0.935916326	0.543290346	0.396923982	0.794036697	0.650679623
185	190BL	1	0.016222786	0.350152529	0.387757824	0.255818357	0.394524003	0.580556985	0.39289893	0.359977719	0.756696429	0.159225191	0.052926969	0.01486826	0.895556125	0.61437712	0.363195556	0.734482759	0.685570022
186	191BL	1	0.018695365	0.415661918	0.505927014	0.417140827	0.595531113	0.674091568	0.684123635	0.498098979	0.902255639	0.097606503	0.081472447	0.016067039	0.862010491	0.504670184	0.354592425	0.756756757	0.696717192
187	192BL	1	0.012971271	0.342150514	0.37819657	0.277421313	0.385175156	0.565438293	0.392922337	0.425658418	0.747893714	0.066065952	0.066634685	0.016081588	0.92156348	0.448402288	0.422512797	0.793333333	0.409732678
188	193BL	1	0.022116929	0.336511514	0.383735433	0.236888153	0.414102164	0.588219487	0.384638636	0.356559784	0.735866124	0.068330416	0.075976146	0.017069151	0.837541642	0.525962836	0.377151739	0.715686275	0.685272989
46	193DZ	0	0.044829929	0.439747558	0.502960378	0.377681625	0.522705132	0.709916947	0.532551569	0.513143538	0.882961526	0.307665057	0.088275278	0.014897352	0.921305223	0.413138471	0.43685468	0.652997567	0.65547532
189	194BL	1	0.025379448	0.386363192	0.444631654	0.287481593	0.47130061	0.607393156	0.399133801	0.45788538	0.665391969	0.136720488	0.07526575	0.014899937	0.920701145	0.460564613	0.528825489	0.825641026	0.422107181
190	195BL	1	0.019098535	0.382956794	0.411652101	0.289748036	0.48172564	0.604085316	0.434349571	0.43162598	0.78483835	0.278393965	0.093697033	0.015497101	0.67239514	0.393098272	0.447082284	0.753560524	0.702649268
191	196BL	1	0.01800519	0.360733734	0.40612768	0.26537825	0.419731654	0.596896485	0.398943768	0.393873064	0.691803279	0.082129731	0.066472864	0.014800572	0.758534526	0.562532436	0.420861451	0.749519318	0.684530337
192	197BL	1	0.069917487	0.423630264	0.452950554	0.388700242	0.504340776	0.651921191	0.473431114	0.495439086	0.710735586	0.114111188	0.105800506	0.01723692	0.913187945	0.610930554	0.470868202	0.743949045	0.665916643
200	198BL	1	0.026972374	0.399820348	0.444672361	0.387166159	0.465097194	0.643783796	0.5203732	0.417544974	0.715581204	0.225114298	0.071522365	0.015043137	0.673320856	0.520550744	0.478587133	0.776190476	0.68672175
193	199BL	1	0.034331298	0.39482884	0.441651624	0.365436237	0.477050094	0.612246213	0.429372607	0.428215011	0.769714286	0.215212949	0.083358104	0.015540253	0.764335648	0.284206771	0.434616825	0.736422031	0.664002396
88	199DZ	0	0.028811046	0.395286163	0.454013599	0.346479478	0.450138952	0.624504221	0.444093339	0.440295346	0.72028597	0.151870265	0.081371025	0.015195094	0.837454751	0.571781013	0.462548457	0.745806452	0.436148736
8	19DZ	0	0.030600628	0.385175951	0.435777471	0.339476394	0.459308663	0.597204969	0.470061953	0.419575149	0.726391495	0.142560802	0.095604049	0.014445364	0.921431428	0.243562993	0.336128823	0.63110784	0.676148092
1	1BL	1	0.020630373	0.331395128	0.366554431	0.298904597	0.411506815	0.555575985	0.419071716	0.357804175	0.714631463	0.083789518	0.071556104	0.013286792	0.886668975	0.469081331	0.325901468	0.677497901	0.686210403
64	200BL	1	0.022599736	0.322107874	0.346019394	0.252197926	0.40314191	0.550715436	0.409184606	0.366872847	0.819746835	0.125501881	0.066962269	0.017555214	0.776302533	0.471053411	0.359176986	0.767931781	0.684880512
65	201BL	1	0.038434223	0.368316298	0.405147203	0.301687241	0.453918917	0.614787733	0.477094134	0.424276723	0.890317052	0.090806875	0.081660028	0.01639718	0.802700859	0.12352836	0.427756457	0.777149186	0.689933355
66	202BL	1	0.034657386	0.35396969	0.436380415	0.326965624	0.563498342	0.652307478	0.527017673	0.401646561	0.9	0.080315269	0.062244125	0.01505852	0.909138588	0.457199088	0.372222222	0.699018441	0.699632486
67	203BL	1	0.011648858	0.363392655	0.430162831	0.266599422	0.504394233	0.649350373	0.611561794	0.352559327	0.862433862	0.162610073	0.057292637	0.01663853	0.908913233	0.487752366	0.366237285	0.60610687	0.37951383
68	204BL	1	0.037678278	0.345535514	0.397319313	0.275276097	0.400699181	0.565209522	0.403051131	0.369571386	0.718946766	0.13438839	0.073082025	0.013989002	0.812013917	0.40369367	0.360069167	0.764106676	0.694450527
