serum	MC_1	MC_5	MC_6	MC_7	MC_9	MC_10	PTMC_2	PTMC_3	PTMC_4	PTMC_6	PTMC_7	PTMC_10
(serum)Levothyroxine	1.40E-05	1.51E-05	1.66E-05	1.24E-05	1.59E-05	1.93E-05	1.62E-05	1.98E-05	1.93E-05	2.08E-05	1.68E-05	1.83E-05
(serum)L-Valine	0.00288774	0.003659571	0.004048281	0.002986582	0.002826341	0.003004274	0.003717532	0.002930522	0.005250993	0.004263523	0.003998275	0.00551075
(serum)Methyl indole-3-acetate	3.02E-05	2.24E-05	2.59E-05	2.78E-05	1.13E-05	1.27E-05	3.78E-05	2.93E-05	2.96E-05	4.30E-05	4.63E-05	2.28E-05
(serum)Myristic Acid	0.000116244	0.000120711	0.000122324	0.000115863	0.000199028	0.00016665	9.57E-05	5.42E-05	6.82E-05	8.40E-05	8.96E-05	5.69E-05
(serum)N,N-Dimethyldodecylamine N-oxide	0.000253761	0.000124799	9.56E-05	0.000197963	0.000143824	0.000149613	7.24E-05	9.72E-05	5.41E-05	0.000125343	0.000136574	7.67E-05
(serum)N,N-Dimethylglycine	0.000278161	0.00021255	0.000182724	0.000168057	0.000169814	0.000177355	0.000302224	0.000345667	0.000287022	0.000421497	0.000256798	0.000269339
(serum)N-Formyl-DL-methionine	3.42E-05	2.75E-05	2.71E-05	3.06E-05	2.84E-05	2.62E-05	3.12E-05	3.44E-05	5.40E-05	3.66E-05	3.73E-05	4.11E-05
(serum)Octanoyl-L-Carnitine	6.56E-05	6.53E-05	6.59E-05	7.03E-05	0.00010095	0.000116612	0.000101629	0.000227986	0.000183537	0.000260083	0.000199924	0.000168812
(serum)Oleic acid	0.027199407	0.025699143	0.028727999	0.02739211	0.040802872	0.037857253	0.019046849	0.027927483	0.013451682	0.020561576	0.014729394	0.011896546
(serum)Oleoyl ethanolamide	2.20E-05	2.02E-05	2.17E-05	2.26E-05	1.98E-05	2.26E-05	2.38E-05	1.62E-05	8.40E-06	1.16E-05	1.18E-05	7.68E-06
(serum)Palmitoleic acid	0.000865817	0.001279797	0.001005665	0.000824638	0.002124631	0.002230497	0.000770359	0.000856672	0.000322688	0.000652967	0.000644878	0.000325848
(serum)PC(16:0/0:0)	0.010519921	0.009924436	0.011061428	0.011229247	0.008712665	0.009260992	0.007584969	0.008082035	0.007309492	0.005773586	0.006121028	0.005256028
(serum)Phosphocholine	4.72E-05	3.83E-05	5.02E-05	4.65E-05	2.67E-05	2.50E-05	3.27E-05	4.08E-05	2.09E-05	2.09E-05	1.43E-05	1.50E-05
(serum)raspberry ketone	2.85E-05	2.14E-05	2.48E-05	2.65E-05	1.53E-05	1.75E-05	4.06E-05	4.75E-05	6.29E-05	3.58E-05	3.76E-05	6.62E-05
(serum)Threonine	0.000459409	0.000502475	0.000503864	0.000521533	0.000521178	0.000476514	0.000523635	0.000517153	0.000955513	0.000675683	0.000836864	0.000962939
(serum)Tretinoin	0.000141656	0.000196207	0.00032439	0.000290798	0.000176358	0.000285014	0.000280205	0.000288776	0.000533975	0.00024855	0.000383608	0.000475074
(serum)Ursocholanic Acid	2.77E-05	3.60E-05	3.84E-05	2.80E-05	2.28E-05	1.93E-05	1.37E-05	1.75E-05	1.01E-05	1.55E-05	1.53E-05	1.02E-05
(serum)α-Aspartylphenylalanine	1.02E-05	1.91E-05	2.06E-05	1.03E-05	1.04E-05	1.20E-05	0.000129207	0.000107749	3.45E-05	0.000114707	0.000111616	3.32E-05
