faecal	MC_1	MC_5	MC_6	MC_7	MC_9	MC_10	PTMC_2	PTMC_3	PTMC_4	PTMC_6	PTMC_7	PTMC_10
(faecal)D-(+)-Pyroglutamic Acid	0.000494704	0.001345213	0.001334851	0.001769309	0.001344549	0.001385807	0.001526193	0.002885993	0.0034093	0.002067488	0.002294624	0.002125404
(faecal)α-Linolenic Acid	0.00107311	0.000420349	0.000582132	0.000395879	0.001639089	0.000641352	0.001967025	0.002795552	0.004104915	0.000815377	0.002941048	0.002989594
(faecal)L-Glutamic acid	0.00141121	0.00075565	0.004885604	0.007826175	0.005885617	0.005723911	0.006694229	0.018436727	0.009560251	0.008860002	0.01050964	0.009022035
(faecal)Citrulline	0.000233006	0.000325553	0.000333025	0.000211399	0.000182073	0.000203305	0.000653515	0.000676577	0.000597832	0.000267152	0.000490259	0.000308389
(faecal)D-Glucuronic Acid	0.001248908	0.002213831	0.002785779	0.005098414	0.004215048	0.003982361	0.000498733	0.003610758	0.00013054	0.000639602	0.000726536	0.000580432
(faecal)Oleic acid	0.010994115	0.008669706	0.010127886	0.012252186	0.012230447	0.009855074	0.012836654	0.032154716	0.020859237	0.033428039	0.059796055	0.041249145
(faecal)L-Norleucine	0.011969101	0.010828684	0.010283542	0.011792182	0.006810896	0.007418667	0.011072213	0.01639751	0.021634222	0.016694694	0.0287235	0.013428771
(faecal)Xanthine	0.000335711	0.000269137	0.000223022	0.000367496	0.000460325	0.000571522	0.00038739	0.000865448	0.000784958	0.000652592	0.000362056	0.000661711
(faecal)Creatine	0.013237384	0.010392606	0.00946302	0.000406093	0.002233644	0.003431573	0.001472117	0.001293074	0.000110831	0.00016377	8.72E-05	0.000177586
(faecal)Ribose	0.001913377	0.001816907	0.0016557	0.001271617	0.001721417	0.001466274	0.001176618	0.001067223	0.000608256	0.000465097	0.00061632	0.00041328
(faecal)Uracil	9.65E-05	5.96E-05	6.38E-05	0.00012451	0.00013746	0.000172204	0.000131051	0.000269852	0.000268266	0.000245947	0.000241202	0.00022161
(faecal)L-(+)-Citrulline	0.000815217	0.000774021	0.000831893	0.000562668	0.00079902	0.000916716	0.001673376	0.001911912	0.001815679	0.001083946	0.001656552	0.001066359
(faecal)citramalate	0.000219668	0.000383536	0.000402115	9.61E-05	0.000226574	0.000203568	4.17E-05	6.42E-05	4.99E-05	7.42E-05	6.12E-05	4.45E-05
(faecal)L-Isoleucine	0.003608899	0.004445282	0.004051236	0.004738431	0.002398565	0.002798587	0.004716086	0.007191205	0.009646797	0.007591512	0.011784535	0.00596478
(faecal)Glucose	0.010039706	0.013654297	0.010585795	0.022012137	0.013141024	0.011905417	0.004179019	0.006825293	0.001149931	0.010379683	0.002431255	0.010085775
(faecal)PC(16:0/0:0)	0.003061417	0.001688389	0.00197296	0.000471337	0.001974619	0.001186124	0.000677578	0.000158326	0.000346896	0.000313453	0.00043458	0.000616908
(faecal)α-Muricholic Acid	0.000119607	6.33E-05	6.13E-05	3.64E-05	5.80E-05	6.61E-05	4.98E-05	5.12E-05	3.87E-05	1.15E-05	1.68E-05	1.01E-05
(faecal)L(+)-Ornithine	0.000612209	0.002193844	0.001961829	0.001945594	0.001111015	0.001167356	0.001650693	0.003111921	0.00627605	0.005522699	0.002227315	0.004460064
(faecal)Thymine	4.94E-05	5.32E-05	6.01E-05	8.33E-05	1.97E-05	2.11E-05	7.68E-05	0.000236305	0.000818214	0.000561952	0.000217606	0.000462527
(faecal)(-)-Riboflavin	2.45E-05	1.90E-05	1.69E-05	3.97E-05	2.42E-05	3.17E-05	3.84E-05	3.33E-05	2.45E-05	4.62E-05	5.45E-05	4.66E-05
(faecal)L(-)-Pipecolinic acid	9.75E-05	0.000147012	0.000139051	0.000147921	0.000104889	0.000106775	0.00017071	0.000316538	0.001617176	0.000839687	0.000713631	0.000795963
(faecal)4-aminobutyric acid	0.000229927	0.000471924	0.000332874	0.000109487	0.000369529	6.49E-05	0.000128264	0.00012759	0.000102338	5.12E-05	3.31E-05	2.63E-05
(faecal)2-Deoxyadenosine	7.68E-05	4.85E-05	5.07E-05	7.83E-05	0.000141483	0.000172759	5.62E-05	2.57E-05	4.51E-05	4.33E-05	1.33E-05	2.86E-05
(faecal)N-Acetyltryptophan	0.00011661	4.72E-05	4.76E-05	3.45E-05	3.43E-05	3.28E-05	3.05E-05	9.02E-06	4.91E-07	9.03E-06	3.21E-05	8.11E-06
(faecal)4-Phenylbutyric acid	4.31E-06	1.44E-05	1.07E-05	2.13E-05	9.10E-06	1.67E-05	1.15E-05	6.14E-05	3.85E-05	2.64E-05	7.79E-05	2.99E-05
(faecal)beta-Hydroxymyristic acid	1.22E-05	2.72E-05	3.78E-05	2.82E-05	1.42E-05	1.50E-05	1.93E-05	3.28E-05	0.000113644	9.71E-05	4.07E-05	0.000101805
(faecal)8-Hydroxyquinoline	4.50E-06	5.80E-06	8.08E-06	4.58E-06	1.85E-05	1.99E-05	8.68E-06	0.000234511	2.50E-05	9.28E-05	0.000170303	9.80E-05
(faecal)5-Hydroxyindole-3-acetic acid	5.38E-05	4.98E-05	5.80E-05	4.72E-05	0.000138787	0.000149228	6.73E-05	0.001434133	0.000167379	0.000580633	0.001228721	0.000659154
(faecal)Ethyl myristate	0.002932706	0.003036953	0.001987964	0.004833634	0.004755134	0.00459834	0.002509095	0.007860949	0.009485879	0.005376461	0.006171792	0.006561073
(faecal)3-Phenyllactic acid	6.34E-06	2.21E-05	1.65E-05	7.10E-06	4.41E-05	4.26E-05	5.80E-06	6.77E-06	5.37E-06	1.59E-06	3.57E-06	6.43E-06
(faecal)Oxypurinol	8.36E-05	8.20E-05	7.40E-05	0.000116478	0.000171564	0.000155296	0.000113799	0.000264273	0.000284119	0.000201472	0.0001174	0.000179667
(faecal)N-Acetyl-DL-aspartic acid	9.08E-05	0.000301142	0.000351854	0.000104532	0.000261869	0.000288044	0.000178606	0.000261329	1.76E-05	1.91E-05	6.72E-05	1.77E-05
(faecal)N-Tigloylglycine	6.21E-06	1.42E-05	8.70E-06	1.43E-05	1.94E-05	2.34E-06	7.88E-05	3.13E-05	2.86E-05	0.000141744	9.23E-06	0.000100352
(faecal)N-Acetyl-L-aspartic acid	0.000139795	0.000198949	0.000200848	0.000135015	0.000253644	0.000276116	0.000141852	0.000196094	8.87E-06	1.22E-05	5.19E-05	6.64E-05
(faecal)Urocanic acid	6.99E-05	9.22E-05	8.01E-05	0.000116462	3.49E-05	3.42E-05	0.000101714	0.000170106	0.000350366	0.000169781	0.000392385	0.000140721
